,Eps,Validity,Proximity,Prediction_gain,Proximity_score,Sparsity,Diversity
27,0.10909090909090909,0.986,11.215,0.915,0.373,12.583,3.193
28,0.11313131313131314,0.984,11.234,0.91,0.376,12.583,3.2
29,0.11717171717171718,0.986,11.182,0.913,0.37,12.506,3.187
30,0.12121212121212122,0.986,11.175,0.913,0.372,12.476,3.193
31,0.12525252525252525,0.985,11.19,0.912,0.378,12.473,3.196
32,0.1292929292929293,0.982,11.192,0.906,0.374,12.439,3.191
33,0.13333333333333333,0.983,11.221,0.909,0.372,12.436,3.19
34,0.13737373737373737,0.981,11.201,0.904,0.374,12.398,3.193
35,0.1414141414141414,0.978,11.168,0.9,0.373,12.347,3.193
36,0.14545454545454545,0.98,11.151,0.905,0.376,12.313,3.195
37,0.1494949494949495,0.977,11.174,0.899,0.373,12.321,3.189
38,0.15353535353535352,0.98,11.146,0.903,0.373,12.231,3.191
39,0.15757575757575756,0.978,11.185,0.9,0.371,12.245,3.197
40,0.1616161616161616,0.974,11.211,0.895,0.374,12.26,3.197
41,0.16565656565656567,0.974,11.153,0.892,0.377,12.191,3.195
42,0.1696969696969697,0.971,11.148,0.891,0.374,12.169,3.196
43,0.17373737373737375,0.972,11.104,0.894,0.378,12.117,3.194
44,0.17777777777777778,0.969,11.144,0.889,0.372,12.142,3.189
45,0.18181818181818182,0.973,11.171,0.89,0.378,12.163,3.196
46,0.18585858585858586,0.97,11.156,0.889,0.374,12.138,3.195
47,0.1898989898989899,0.967,11.077,0.886,0.375,12.048,3.189
48,0.19393939393939394,0.967,11.142,0.883,0.378,12.105,3.197
49,0.19797979797979798,0.965,11.157,0.881,0.377,12.113,3.191
50,0.20202020202020202,0.966,11.156,0.883,0.377,12.104,3.191
51,0.20606060606060606,0.965,11.081,0.882,0.377,12.017,3.192
52,0.2101010101010101,0.963,11.096,0.879,0.373,12.022,3.191
53,0.21414141414141413,0.961,11.126,0.876,0.373,12.046,3.194
54,0.21818181818181817,0.962,11.147,0.876,0.377,12.058,3.198
55,0.2222222222222222,0.958,11.103,0.872,0.376,12.008,3.193
56,0.22626262626262628,0.96,11.09,0.873,0.375,11.99,3.189
57,0.23030303030303031,0.955,11.117,0.869,0.374,12.007,3.191
58,0.23434343434343435,0.951,11.108,0.865,0.38,11.98,3.197
59,0.2383838383838384,0.955,11.139,0.867,0.375,12.005,3.193
60,0.24242424242424243,0.95,11.079,0.862,0.379,11.94,3.191
61,0.24646464646464647,0.952,11.082,0.863,0.378,11.936,3.19
62,0.2505050505050505,0.949,11.098,0.86,0.378,11.942,3.193
63,0.2545454545454545,0.95,11.11,0.863,0.378,11.953,3.19
64,0.2585858585858586,0.942,11.122,0.853,0.374,11.955,3.187
65,0.26262626262626265,0.938,11.101,0.849,0.379,11.928,3.193
66,0.26666666666666666,0.935,11.076,0.844,0.375,11.893,3.19
67,0.27070707070707073,0.94,11.091,0.85,0.379,11.903,3.197
68,0.27474747474747474,0.938,11.101,0.848,0.375,11.906,3.193
69,0.2787878787878788,0.936,11.087,0.847,0.376,11.886,3.19
70,0.2828282828282828,0.931,11.078,0.84,0.376,11.87,3.192
71,0.2868686868686869,0.932,11.049,0.837,0.38,11.834,3.192
72,0.2909090909090909,0.93,11.09,0.841,0.377,11.87,3.189
73,0.29494949494949496,0.929,11.085,0.837,0.378,11.856,3.194
74,0.298989898989899,0.927,11.084,0.835,0.38,11.846,3.194
75,0.30303030303030304,0.923,11.068,0.831,0.377,11.821,3.195
76,0.30707070707070705,0.924,11.066,0.832,0.379,11.812,3.196
77,0.3111111111111111,0.922,11.075,0.83,0.374,11.81,3.187
78,0.3151515151515151,0.911,11.041,0.817,0.38,11.767,3.191
79,0.3191919191919192,0.914,11.05,0.821,0.377,11.762,3.191
80,0.3232323232323232,0.91,11.037,0.818,0.379,11.737,3.192
81,0.32727272727272727,0.907,11.039,0.813,0.379,11.736,3.191
82,0.33131313131313134,0.908,11.033,0.813,0.382,11.723,3.198
83,0.33535353535353535,0.908,11.037,0.815,0.378,11.72,3.194
84,0.3393939393939394,0.907,11.017,0.812,0.378,11.693,3.193
85,0.3434343434343434,0.903,11.014,0.81,0.38,11.683,3.194
86,0.3474747474747475,0.899,11.058,0.806,0.382,11.718,3.196
87,0.3515151515151515,0.896,11.074,0.801,0.377,11.727,3.192
88,0.35555555555555557,0.893,10.966,0.798,0.38,11.612,3.191
89,0.3595959595959596,0.888,11.008,0.795,0.379,11.648,3.191
90,0.36363636363636365,0.888,11.032,0.793,0.383,11.666,3.197
91,0.36767676767676766,0.889,11.029,0.793,0.381,11.656,3.194
