,Dataset,Accuracy,Validity,Proximity,Prediction_gain,Proximity_score,Sparsity,Diversity,Ablation,Seed
487,student,0.9337342005154008,0.5066879371702049,10.973,0.376,0.379,33.051,3.149,remove_dec_change_enc_only_True,12
488,heloc,0.7036328871892925,0.4917782026768642,4.695,0.082,0.308,23.781,1.573,remove_dec_change_enc_only_True,12
489,student_performance,0.9079754601226994,0.3619631901840491,19.26,0.335,0.725,21.006,4.365,remove_dec_change_enc_only_True,12
490,titanic,0.8251121076233184,0.4663677130044843,11.442,0.262,0.886,13.274,3.329,remove_dec_change_enc_only_True,12
491,breast_cancer,0.9720279720279721,0.5384615384615384,3.179,0.26,0.288,30.0,0.086,remove_dec_change_enc_only_True,12
492,adult,0.8301191499815748,0.27035990664537524,7.022,0.112,0.108,8.792,2.572,remove_dec_change_enc_only_True,34
493,student,0.9321389127500308,0.496993496134495,11.033,0.379,0.381,33.105,3.152,remove_dec_change_enc_only_True,34
494,heloc,0.7173996175908222,0.5097514340344168,4.669,0.11,0.33,23.753,1.572,remove_dec_change_enc_only_True,34
495,student_performance,0.8834355828220859,0.4355828220858896,18.794,0.404,0.724,20.54,4.338,remove_dec_change_enc_only_True,34
496,titanic,0.8161434977578476,0.37668161434977576,11.153,0.21,0.888,12.987,3.332,remove_dec_change_enc_only_True,34
497,breast_cancer,0.965034965034965,0.6083916083916084,3.203,0.425,0.284,30.0,0.1,remove_dec_change_enc_only_True,34
498,adult,0.8296278098513696,0.3240388158702862,7.059,0.147,0.113,8.829,2.577,remove_dec_change_enc_only_True,56
499,student,0.9322616271935208,0.5066879371702049,10.963,0.374,0.379,33.033,3.143,remove_dec_change_enc_only_True,56
500,heloc,0.7216061185468451,0.4917782026768642,4.616,0.082,0.31,23.712,1.553,remove_dec_change_enc_only_True,56
501,student_performance,0.9079754601226994,0.4233128834355828,19.247,0.409,0.719,20.994,4.371,remove_dec_change_enc_only_True,56
502,titanic,0.820627802690583,0.4260089686098655,10.82,0.208,0.856,12.655,3.226,remove_dec_change_enc_only_True,56
503,breast_cancer,0.9720279720279721,0.6013986013986014,3.19,0.425,0.292,30.0,0.081,remove_dec_change_enc_only_True,56
504,adult,0.8287679646235107,0.3556074192359661,7.066,0.161,0.112,8.837,2.577,remove_dec_change_enc_only_True,3
505,student,0.9309117683151308,0.498097926125905,10.991,0.362,0.377,33.062,3.144,remove_dec_change_enc_only_True,3
506,heloc,0.7131931166347992,0.4321223709369025,4.71,0.051,0.306,23.81,1.547,remove_dec_change_enc_only_True,3
507,student_performance,0.8957055214723927,0.392638036809816,19.015,0.374,0.716,20.761,4.309,remove_dec_change_enc_only_True,3
508,titanic,0.8251121076233184,0.3587443946188341,11.171,0.179,0.866,13.004,3.357,remove_dec_change_enc_only_True,3
509,breast_cancer,0.965034965034965,0.5104895104895105,3.187,0.261,0.284,30.0,0.086,remove_dec_change_enc_only_True,3
510,adult,0.831101830241985,0.31396634320108097,7.039,0.134,0.108,8.809,2.567,remove_dec_change_enc_only_True,67
511,student,0.9300527672107008,0.501902073874095,10.995,0.356,0.381,33.073,3.152,remove_dec_change_enc_only_True,67
512,heloc,0.7154875717017208,0.518546845124283,4.706,0.101,0.329,23.798,1.542,remove_dec_change_enc_only_True,67
513,student_performance,0.9018404907975459,0.3619631901840491,18.903,0.357,0.707,20.65,4.326,remove_dec_change_enc_only_True,67
514,titanic,0.8251121076233184,0.38565022421524653,11.45,0.184,0.878,13.283,3.258,remove_dec_change_enc_only_True,67
515,breast_cancer,0.965034965034965,0.5524475524475524,3.149,0.283,0.279,30.0,0.069,remove_dec_change_enc_only_True,67
516,adult,0.8287679646235107,0.3159317037219015,7.053,0.138,0.104,8.823,2.566,remove_dec_change_enc_only_True,98
517,student,0.9271076205669408,0.505583507178795,10.952,0.385,0.379,33.03,3.148,remove_dec_change_enc_only_True,98
518,heloc,0.7040152963671128,0.4852772466539197,4.685,0.081,0.295,23.769,1.576,remove_dec_change_enc_only_True,98
519,student_performance,0.8957055214723927,0.44171779141104295,19.037,0.409,0.71,20.785,4.342,remove_dec_change_enc_only_True,98
520,titanic,0.8161434977578476,0.4035874439461883,11.306,0.22,0.858,13.139,3.262,remove_dec_change_enc_only_True,98
521,breast_cancer,0.9720279720279721,0.4545454545454545,3.147,0.205,0.287,30.0,0.075,remove_dec_change_enc_only_True,98
522,adult,0.8296278098513696,0.3086844368013757,7.039,0.127,0.11,8.809,2.572,remove_dec_change_enc_only_True,4
523,student,0.9336114860719108,0.4863173395508652,10.942,0.352,0.378,33.019,3.141,remove_dec_change_enc_only_True,4
524,heloc,0.7135755258126195,0.474187380497132,4.717,0.087,0.33,23.804,1.575,remove_dec_change_enc_only_True,4
525,student_performance,0.9018404907975459,0.34355828220858897,19.678,0.326,0.726,21.423,4.342,remove_dec_change_enc_only_True,4
526,titanic,0.8161434977578476,0.3542600896860987,10.946,0.163,0.866,12.78,3.35,remove_dec_change_enc_only_True,4
527,breast_cancer,0.9720279720279721,0.6083916083916084,3.171,0.407,0.3,30.0,0.076,remove_dec_change_enc_only_True,4
528,adult,0.830241985014126,0.3056135609875937,7.058,0.129,0.104,8.827,2.565,remove_dec_change_enc_only_True,23
529,student,0.9328751994109706,0.5028837894220151,10.999,0.38,0.38,33.063,3.147,remove_dec_change_enc_only_True,23
530,heloc,0.7078393881453154,0.4952198852772466,4.683,0.081,0.34,23.767,1.568,remove_dec_change_enc_only_True,23
531,student_performance,0.9018404907975459,0.32515337423312884,19.063,0.318,0.707,20.81,4.34,remove_dec_change_enc_only_True,23
532,titanic,0.8161434977578476,0.4260089686098655,11.604,0.201,0.865,13.435,3.256,remove_dec_change_enc_only_True,23
533,breast_cancer,0.965034965034965,0.4545454545454545,3.137,0.238,0.283,30.0,0.082,remove_dec_change_enc_only_True,23
534,adult,0.8297506448839209,0.2855914506817344,7.082,0.126,0.111,8.853,2.574,remove_dec_change_enc_only_True,8
535,student,0.9294391949932508,0.4866854828813351,10.963,0.336,0.378,33.039,3.141,remove_dec_change_enc_only_True,8
536,heloc,0.710133843212237,0.4692160611854685,4.722,0.101,0.31,23.807,1.571,remove_dec_change_enc_only_True,8
537,student_performance,0.8895705521472392,0.4355828220858896,18.953,0.421,0.716,20.699,4.327,remove_dec_change_enc_only_True,8
538,titanic,0.7982062780269058,0.4260089686098655,11.766,0.218,0.853,13.596,3.342,remove_dec_change_enc_only_True,8
539,breast_cancer,0.9720279720279721,0.5944055944055944,3.16,0.39,0.288,30.0,0.083,remove_dec_change_enc_only_True,8
540,adult,0.8297506448839209,0.3365679891905171,7.0,0.148,0.108,8.77,2.574,remove_dec_change_enc_only_False,42
541,student,0.9298073383237208,0.4827586206896552,11.014,0.353,0.377,33.093,3.15,remove_dec_change_enc_only_False,42
542,heloc,0.7147227533460803,0.4684512428298279,4.707,0.096,0.317,23.787,1.57,remove_dec_change_enc_only_False,42
543,student_performance,0.9018404907975459,0.4233128834355828,19.455,0.393,0.714,21.202,4.317,remove_dec_change_enc_only_False,42
544,titanic,0.820627802690583,0.4349775784753363,11.117,0.216,0.864,12.951,3.251,remove_dec_change_enc_only_False,42
545,breast_cancer,0.9720279720279721,0.5804195804195804,3.181,0.318,0.282,30.0,0.08,remove_dec_change_enc_only_False,42
546,adult,0.8304876550792286,0.3171600540474143,7.031,0.146,0.105,8.801,2.567,remove_dec_change_enc_only_False,12
547,student,0.9341023438458708,0.5112283715793349,10.974,0.383,0.379,33.053,3.149,remove_dec_change_enc_only_False,12
548,heloc,0.7166347992351817,0.4883365200764818,4.692,0.088,0.31,23.777,1.573,remove_dec_change_enc_only_False,12
549,student_performance,0.9018404907975459,0.3558282208588957,19.26,0.335,0.725,21.006,4.365,remove_dec_change_enc_only_False,12
550,titanic,0.8251121076233184,0.4618834080717489,11.451,0.259,0.884,13.283,3.33,remove_dec_change_enc_only_False,12
551,breast_cancer,0.9720279720279721,0.5384615384615384,3.179,0.26,0.288,30.0,0.086,remove_dec_change_enc_only_False,12
552,adult,0.8314703353396389,0.28116938950988823,7.022,0.118,0.109,8.792,2.572,remove_dec_change_enc_only_False,34
553,student,0.9329979138544606,0.498343355012885,11.035,0.38,0.381,33.107,3.153,remove_dec_change_enc_only_False,34
554,heloc,0.7158699808795411,0.4978967495219885,4.67,0.11,0.316,23.754,1.572,remove_dec_change_enc_only_False,34
555,student_performance,0.8895705521472392,0.4294478527607362,18.807,0.403,0.723,20.552,4.337,remove_dec_change_enc_only_False,34
556,titanic,0.8161434977578476,0.37668161434977576,11.144,0.209,0.889,12.978,3.334,remove_dec_change_enc_only_False,34
557,breast_cancer,0.965034965034965,0.6083916083916084,3.203,0.424,0.284,30.0,0.1,remove_dec_change_enc_only_False,34
558,adult,0.8308561601768825,0.3250214961306965,7.058,0.149,0.111,8.828,2.577,remove_dec_change_enc_only_False,56
559,student,0.9311571972021108,0.5073015093876551,10.963,0.371,0.38,33.033,3.143,remove_dec_change_enc_only_False,56
560,heloc,0.7212237093690248,0.4810707456978968,4.616,0.071,0.31,23.711,1.553,remove_dec_change_enc_only_False,56
561,student_performance,0.9079754601226994,0.4233128834355828,19.247,0.409,0.72,20.994,4.371,remove_dec_change_enc_only_False,56
562,titanic,0.820627802690583,0.4215246636771301,10.829,0.207,0.857,12.664,3.228,remove_dec_change_enc_only_False,56
563,breast_cancer,0.9720279720279721,0.6013986013986014,3.19,0.423,0.292,30.0,0.081,remove_dec_change_enc_only_False,56
564,adult,0.8285222945584081,0.3524137083896327,7.066,0.158,0.111,8.837,2.577,remove_dec_change_enc_only_False,3
565,student,0.9321389127500308,0.498711498343355,10.988,0.362,0.377,33.058,3.144,remove_dec_change_enc_only_False,3
566,heloc,0.7158699808795411,0.4309751434034417,4.711,0.052,0.305,23.811,1.546,remove_dec_change_enc_only_False,3
567,student_performance,0.8957055214723927,0.392638036809816,19.015,0.374,0.716,20.761,4.31,remove_dec_change_enc_only_False,3
568,titanic,0.8251121076233184,0.3542600896860987,11.18,0.179,0.866,13.013,3.358,remove_dec_change_enc_only_False,3
569,breast_cancer,0.965034965034965,0.5104895104895105,3.187,0.259,0.284,30.0,0.086,remove_dec_change_enc_only_False,3
570,adult,0.8304876550792286,0.313106497973222,7.039,0.135,0.109,8.809,2.567,remove_dec_change_enc_only_False,67
571,student,0.9294391949932508,0.491962203951405,10.997,0.361,0.38,33.075,3.152,remove_dec_change_enc_only_False,67
572,heloc,0.7162523900573614,0.5124282982791587,4.705,0.106,0.321,23.796,1.542,remove_dec_change_enc_only_False,67
573,student_performance,0.9018404907975459,0.3619631901840491,18.915,0.357,0.707,20.663,4.323,remove_dec_change_enc_only_False,67
574,titanic,0.8251121076233184,0.38565022421524653,11.441,0.183,0.878,13.274,3.258,remove_dec_change_enc_only_False,67
575,breast_cancer,0.965034965034965,0.5524475524475524,3.149,0.284,0.279,30.0,0.069,remove_dec_change_enc_only_False,67
576,adult,0.8304876550792286,0.3160545387544528,7.052,0.14,0.104,8.822,2.566,remove_dec_change_enc_only_False,98
577,student,0.9262486194625108,0.504110933856915,10.955,0.384,0.379,33.032,3.148,remove_dec_change_enc_only_False,98
578,heloc,0.7147227533460803,0.4615678776290631,4.688,0.092,0.294,23.773,1.576,remove_dec_change_enc_only_False,98
579,student_performance,0.8957055214723927,0.4355828220858896,19.049,0.402,0.709,20.798,4.339,remove_dec_change_enc_only_False,98
580,titanic,0.8161434977578476,0.4080717488789238,11.306,0.225,0.858,13.139,3.262,remove_dec_change_enc_only_False,98
581,breast_cancer,0.9720279720279721,0.4545454545454545,3.147,0.205,0.287,30.0,0.075,remove_dec_change_enc_only_False,98
582,adult,0.8304876550792286,0.3085616017688245,7.04,0.13,0.109,8.81,2.572,remove_dec_change_enc_only_False,4
583,student,0.9333660571849308,0.4833721929071052,10.933,0.352,0.378,33.011,3.141,remove_dec_change_enc_only_False,4
584,heloc,0.7170172084130019,0.4887189292543021,4.72,0.089,0.342,23.806,1.575,remove_dec_change_enc_only_False,4
585,student_performance,0.9079754601226994,0.3558282208588957,19.666,0.331,0.726,21.411,4.342,remove_dec_change_enc_only_False,4
586,titanic,0.8161434977578476,0.3632286995515695,10.954,0.17,0.865,12.789,3.344,remove_dec_change_enc_only_False,4
587,breast_cancer,0.9720279720279721,0.6083916083916084,3.172,0.406,0.3,30.0,0.076,remove_dec_change_enc_only_False,4
588,adult,0.8295049748188184,0.30598206608524753,7.057,0.135,0.103,8.826,2.565,remove_dec_change_enc_only_False,23
589,student,0.9338569149588908,0.500797643882685,10.997,0.378,0.379,33.06,3.147,remove_dec_change_enc_only_False,23
590,heloc,0.710133843212237,0.498661567877629,4.683,0.077,0.338,23.767,1.568,remove_dec_change_enc_only_False,23
591,student_performance,0.9018404907975459,0.32515337423312884,19.075,0.317,0.707,20.822,4.34,remove_dec_change_enc_only_False,23
592,titanic,0.8161434977578476,0.4260089686098655,11.613,0.201,0.864,13.444,3.256,remove_dec_change_enc_only_False,23
593,breast_cancer,0.965034965034965,0.4545454545454545,3.137,0.238,0.283,30.0,0.082,remove_dec_change_enc_only_False,23
594,adult,0.8296278098513696,0.2911190271465422,7.082,0.128,0.11,8.853,2.574,remove_dec_change_enc_only_False,8
595,student,0.9280893361148608,0.4836176217940852,10.963,0.341,0.377,33.04,3.141,remove_dec_change_enc_only_False,8
596,heloc,0.7105162523900573,0.4462715105162524,4.722,0.1,0.297,23.808,1.572,remove_dec_change_enc_only_False,8
597,student_performance,0.8895705521472392,0.4355828220858896,18.941,0.422,0.715,20.687,4.327,remove_dec_change_enc_only_False,8
598,titanic,0.7982062780269058,0.4260089686098655,11.775,0.218,0.854,13.605,3.339,remove_dec_change_enc_only_False,8
599,breast_cancer,0.9720279720279721,0.5944055944055944,3.16,0.389,0.288,30.0,0.083,remove_dec_change_enc_only_False,8
