,Dataset,Accuracy,Validity,Proximity,Prediction_gain,Proximity_score,Sparsity,Diversity,Ablation,Seed
90,adult,0.8296278098513696,0.9998771649674488,7.654,0.733,0.043,9.258,2.115,None_change_dec_only_,67
91,student,0.9318934838630508,0.99938642778255,11.57,0.933,0.376,33.109,3.195,None_change_dec_only_,67
92,heloc,0.7166347992351817,1.0,5.508,0.653,0.226,23.971,1.284,None_change_dec_only_,67
93,student_performance,0.9079754601226994,0.8895705521472392,19.409,0.858,0.697,21.19,4.256,None_change_dec_only_,67
94,titanic,0.820627802690583,0.9730941704035876,15.723,0.739,0.702,17.516,3.47,None_change_dec_only_,67
95,breast_cancer,0.965034965034965,1.0,5.087,0.987,0.277,30.0,0.545,None_change_dec_only_,67
96,adult,0.8308561601768825,0.9996314949023462,7.667,0.746,0.041,9.27,2.141,None_change_dec_only_,98
97,student,0.9305436249846608,0.99963185666953,11.519,0.93,0.374,33.082,3.189,None_change_dec_only_,98
98,heloc,0.7158699808795411,1.0,5.591,0.657,0.223,23.983,1.308,None_change_dec_only_,98
99,student_performance,0.9079754601226994,0.9263803680981596,19.743,0.894,0.708,21.521,4.281,None_change_dec_only_,98
100,titanic,0.8161434977578476,0.9910313901345292,15.305,0.719,0.721,17.103,3.507,None_change_dec_only_,98
101,breast_cancer,0.9720279720279721,1.0,5.184,0.987,0.274,30.0,0.561,None_change_dec_only_,98
102,adult,0.8296278098513696,1.0,7.746,0.75,0.048,9.34,2.134,None_change_dec_only_,4
103,student,0.9282120505583508,0.99963185666953,11.47,0.943,0.371,33.033,3.177,None_change_dec_only_,4
104,heloc,0.7135755258126195,0.9996175908221796,5.628,0.676,0.218,24.08,1.373,None_change_dec_only_,4
105,student_performance,0.9141104294478528,0.8895705521472392,20.383,0.864,0.707,22.16,4.263,None_change_dec_only_,4
106,titanic,0.820627802690583,0.9551569506726456,15.361,0.705,0.722,17.157,3.562,None_change_dec_only_,4
107,breast_cancer,0.965034965034965,1.0,5.166,0.986,0.279,30.0,0.556,None_change_dec_only_,4
108,adult,0.8288907996560619,0.9995086598697948,7.577,0.731,0.039,9.199,2.08,None_change_dec_only_,23
109,student,0.9336114860719108,0.99975457111302,11.633,0.945,0.376,33.14,3.2,None_change_dec_only_,23
110,heloc,0.7223709369024857,1.0,5.497,0.593,0.247,23.93,1.389,None_change_dec_only_,23
111,student_performance,0.9018404907975459,0.8711656441717791,19.524,0.846,0.707,21.301,4.277,None_change_dec_only_,23
112,titanic,0.8161434977578476,0.9551569506726456,15.267,0.717,0.695,17.067,3.407,None_change_dec_only_,23
113,breast_cancer,0.958041958041958,1.0,5.149,0.986,0.266,30.0,0.553,None_change_dec_only_,23
114,adult,0.831101830241985,0.9998771649674488,7.796,0.755,0.048,9.376,2.103,None_change_dec_only_,8
115,student,0.9302981960976808,0.99938642778255,11.51,0.942,0.365,33.09,3.178,None_change_dec_only_,8
116,heloc,0.7181644359464627,1.0,5.67,0.646,0.204,24.107,1.395,None_change_dec_only_,8
117,student_performance,0.9079754601226994,0.9079754601226994,19.572,0.879,0.703,21.35,4.245,None_change_dec_only_,8
118,titanic,0.820627802690583,0.9865470852017936,15.98,0.734,0.721,17.767,3.523,None_change_dec_only_,8
119,breast_cancer,0.965034965034965,1.0,5.145,0.987,0.269,30.0,0.544,None_change_dec_only_,8
